PE,blue,29,pre,2020-12-07-15:53:37,-36,-62,-66,-53,-255,-21,-33,-19
PE,blue,29,actual,2020-12-07-15:53:38,28605,26512,17854,51900,44380,51978,158886,29419
PP,clear,30,pre,2020-12-07-15:54:02,-23,-51,26,-58,-43,-44,-30,-63
PP,clear,30,actual,2020-12-07-15:54:03,23355,21735,14281,42236,37695,36049,93769,15566
PP,blue,31,pre,2020-12-07-15:54:21,-1,-47,-64,-55,-242,-75,224,-22
PP,blue,31,actual,2020-12-07-15:54:23,24899,23207,15245,45800,38412,39953,108763,18109
PET,blue,32,pre,2020-12-07-15:54:46,-40,-21,-41,-2,-52,-64,-33,-55
PET,blue,32,actual,2020-12-07-15:54:47,48899,44975,30585,74942,70328,74558,253544,41222
PET,clear,33,pre,2020-12-07-15:55:06,-15,-33,-62,-65335,-29,-26,-16,-46
PET,clear,33,actual,2020-12-07-15:55:08,24504,23665,13763,40001,32811,33306,71751,13983
PP,gold,34,pre,2020-12-07-15:55:35,-32,-25,-47,-22,-65307,-37,-89,-9
PP,gold,34,actual,2020-12-07-15:55:37,27821,24828,15643,44968,39226,45010,182410,31502
PP,purple,35,pre,2020-12-07-15:56:04,-73,-25,-8,-42,-34,-47,-41,-3
PP,purple,35,actual,2020-12-07-15:56:05,26291,24065,14752,43379,37540,37695,110422,16725
PE,white,36,pre,2020-12-07-15:56:40,-2,-20,-29,-6,-69,-59,-52,-26
PE,white,36,actual,2020-12-07-15:56:42,24010,22593,14633,43223,36988,39503,105379,19632
PP,clear,37,pre,2020-12-07-15:57:03,-47,-25,-51,-16,-9,-56,217,-16
PP,clear,37,actual,2020-12-07-15:57:05,23497,21503,14004,41715,36975,35577,95549,15010
unknown,green,38,pre,2020-12-07-15:57:33,-39,-40,-30,-52,-44,-37,-47,65490
unknown,green,38,actual,2020-12-07-15:57:34,27568,25733,16513,47175,39837,44394,130104,24115
unknown,clear,39,pre,2020-12-07-15:57:56,-17,-11,-34,-26,-29,-27,-248,-53
unknown,clear,39,actual,2020-12-07-15:57:57,25206,23603,14815,43076,36582,36721,98727,15377
PE,purple,40,pre,2020-12-07-15:58:15,-20,-5,-37,-32,191,-36,-36,-39
PE,purple,40,actual,2020-12-07-15:58:16,34304,30475,19921,56537,46849,59975,210233,36513
PET,clear,41,pre,2020-12-07-15:58:34,-20,0,-31,-6,-50,-48,-59,-44
PET,clear,41,actual,2020-12-07-15:58:36,23684,20152,13879,44527,36252,38586,105539,18863
unknown,red,42,pre,2020-12-07-15:59:04,-27,-50,-5,-53,-12,-34,-44,-51
unknown,red,42,actual,2020-12-07-15:59:05,27233,24966,16880,47377,40400,46525,133205,26345
PE,white,43,pre,2020-12-07-15:59:22,-45,-35,-45,5,-41,-35,-24,-30
PE,white,43,actual,2020-12-07-15:59:23,51752,48283,32079,81198,69121,84362,294429,53057
PET,clear,44,pre,2020-12-07-15:59:51,-39,-56,-51,-16,-43,-25,-231,-58
PET,clear,44,actual,2020-12-07-15:59:52,23321,22961,14029,41343,35967,36215,96977,14836
PE,blue,45,pre,2020-12-07-16:00:12,-71,-28,-40,6,-68,5,-32,-46
PE,blue,45,actual,2020-12-07-16:00:13,26849,26709,18036,50754,44568,52570,168094,32203
PE,purple,46,pre,2020-12-07-16:00:32,-51,-70,-41,16,-33,-48,-47,-19
PE,purple,46,actual,2020-12-07-16:00:33,33573,30755,19824,57198,47514,58538,200082,35032
PET,clear,47,pre,2020-12-07-16:00:55,-60,-40,-65,-49,-42,-60,-27,-50
PET,clear,47,actual,2020-12-07-16:00:56,23058,24639,13209,39797,33080,33578,91096,15629
unknown,purple,48,pre,2020-12-07-16:01:41,-1,-53,-44,-43,9,-45,3,-56
unknown,purple,48,actual,2020-12-07-16:01:42,35293,35208,20782,57580,52190,57825,207275,33331
PET,clear,49,pre,2020-12-07-16:02:01,-24,18,-29,-65,-16,-73,-32,-37
PET,clear,49,actual,2020-12-07-16:02:02,20760,21906,14345,46425,39588,38382,97671,14200
unknown,purple,50,pre,2020-12-07-16:02:19,-53,13,220,-30,-47,7,245,-52
unknown,purple,50,actual,2020-12-07-16:02:20,34592,29130,19015,52672,45485,49070,152923,27878
PE,blue,51,pre,2020-12-07-16:02:35,-16,-27,-10,-16,-50,-16,-47,-43
PE,blue,51,actual,2020-12-07-16:02:36,29297,25979,17344,51894,46185,51365,176546,33290
ABS,yellow,52,pre,2020-12-07-16:02:57,-28,-11,-27,-39,-60,-43,-13,-59
ABS,yellow,52,actual,2020-12-07-16:02:58,48981,52375,36330,88455,77871,91269,310954,52757
unknown,purple,53,pre,2020-12-07-16:03:23,-6,6,-47,-57,-34,-36,-22,-55
unknown,purple,53,actual,2020-12-07-16:03:25,33353,29037,19144,53418,46051,50177,152382,28405
unknown,white,54,pre,2020-12-07-16:03:57,-45,-51,-54,-37,-235,-240,-4,-56
unknown,white,54,actual,2020-12-07-16:03:58,44246,42554,28566,74846,64356,79805,277880,50495
unknown,clear,55,pre,2020-12-07-16:04:26,-19,-46,-30,-22,-47,6,-3,-30
unknown,clear,55,actual,2020-12-07-16:04:27,25370,24180,14842,43171,39246,37198,111867,16257
unknown,white,56,pre,2020-12-07-16:04:50,-40,-40,-21,-44,-14,-45,-21,-51
unknown,white,56,actual,2020-12-07-16:04:51,40555,35990,23810,64569,57424,72923,256638,47086
baseline,none,none,pre,2020-12-07-16:05:07,-46,-14,-51,-5,-20,-24,-25,-43
baseline,none,none,actual,2020-12-07-16:05:09,18761,17637,12245,37866,31171,31354,62894,11929
